	1	2	3	4	6	7	8	9	10	11	13	14	15	17	19	20	21	22	27	28	29	30	32	33	35	36	37	38	248	252
1					23,23		30				23,36			22		31					29		35,21	21					49		
2	54													21							20	21	22						20		
3	25,22										37					26		32,31					26								
4	23				23	25													20	23										24	
6	26,24,22						36	25,23			28	32,26				28,25			23		31,33	26								25	
7						70													27,25,21												
8																															
9																															
10	23,35				23						26			29	25	26					28	31,22	26,24							21	
11	23										20											18									
13	25,37				30									22		24					23	23	22								
14					34,21																21									24,21	
15							30							26,38					34,21	30,37											
17							25				27		39		26,27	27				35,42	34,39	24,23	23								
19							24							30,26		27				34,30	24	31,30									
20	26,29				29,23						26			26	30			26			25,23	34,25	26								
21	39										32					26		31,21			24	25,21	28								
22																22															
27					21	26							33																	21	
28																															
29	30				30,31						21	25		35,37	22,24	24,20						27,27	22								
30					23,26						24			27,21	30,25	35,25				26,25	27,30		24							23	
32	37,21				24						23			32		24					23			30				28,25			
33	21																						34					41,45			
35																							23			25	25				
36																											44,44				
37																							20			44,47,46					
38																							25,24	40,44							
248	41																														
252					23							23							21		23	21									
