	1	2	3	4	6	7	8	9	10	11	13	14	15	17	19	20	21	22	27	28	29	30	32	33	35	36	37	38	248	252
1					-87,-87		-80				-87,-74			-88		-79					-81		-75,-89	-89					-61		
2	-56													-89							-90	-89	-88						-90		
3	-85,-88										-73					-84		-78,-79					-84								
4	-87				-87	-85													-90	-87										-86	
6	-84,-86,-88						-74	-85,-87			-82	-78,-84				-82,-85			-87		-79,-77	-84								-85	
7						-34													-83,-85,-89												
8																															
9																															
10	-87,-75				-87						-84			-81	-85	-84					-82	-79,-88	-84,-86							-89	
11	-87										-90											-92									
13	-85,-73				-80									-88		-86					-87	-87	-88								
14					-76,-89																-89									-86,-89	
15							-80							-84,-72					-76,-89	-80,-73											
17							-85				-83		-71		-84,-83	-83				-75,-68	-76,-71	-86,-87	-87								
19							-86							-80,-84		-83				-76,-80	-86	-79,-80									
20	-84,-81				-81,-87						-84			-84	-80			-84			-85,-87	-76,-85	-84								
21	-71										-78					-84		-79,-89			-86	-85,-89	-82								
22																-88															
27					-89	-84							-77																	-89	
28																															
29	-80				-80,-79						-89	-85		-75,-73	-88,-86	-86,-90						-83,-83	-88								
30					-87,-84						-86			-83,-89	-80,-85	-75,-85				-84,-85	-83,-80		-86							-87	
32	-73,-89				-86						-87			-78		-86					-87			-80				-82,-85			
33	-89																						-76					-69,-65			
35																							-87			-85	-85				
36																											-66,-66				
37																							-90			-66,-63,-64					
38																							-85,-86	-70,-66							
248	-69																														
252					-87							-87							-89		-87	-89									
