ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
35-0,00:0C:42:6C:3D:3D,6,2.437,50,-60
1-0,00:0C:42:6C:40:76,1,2.412,28,-82
2-0,00:0C:42:67:89:2C,1,2.412,46,-64
32-1,00:0C:42:6C:39:45,11,2.462,24,-86
23-1,00:0C:42:67:93:E7,11,2.462,30,-80
6-1,00:0C:42:6C:3D:3E,11,2.462,25,-85
4-1,00:0C:42:6C:3D:36,11,2.462,25,-85
34-1,00:0C:42:6C:39:49,11,2.462,25,-85
13-1,00:0C:42:67:89:9A,11,2.462,38,-72
35-1,00:0C:42:67:89:96,11,2.462,23,-87
21-1,00:0C:42:67:89:9D,11,2.462,41,-69
20-1,00:0C:42:65:C6:AC,11,2.462,25,-85
31-1,00:0C:42:6C:37:C4,11,2.462,24,-86
248-1,00:0C:42:65:C4:6C,11,2.462,60,-50
24-1,00:0C:42:67:89:B9,11,2.462,23,-87
32-0,00:0C:42:6C:39:3D,1,2.412,43,-67
34-0,00:0C:42:6C:37:C6,1,2.412,31,-79
13-0,00:0C:42:6C:3D:C3,1,2.412,36,-74
21-0,00:0C:42:6C:40:77,1,2.412,32,-78
1-0,00:0C:42:6C:40:76,1,2.412,54,-56
248-0,00:0C:42:6C:3D:39,6,2.437,61,-49
