ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
aRYp-ValleyInternet.com,00:27:19:C9:5A:98,11,2.462,23,-87
18-1,00:0C:42:65:C6:AD,11,2.462,24,-86
qurinet,22:22:22:22:22:22,11,2.462,28,-82
29-1,00:0C:42:67:89:B6,11,2.462,28,-82
IR-ValleyInternet.com,94:0C:6D:EE:F4:88,11,2.462,22,-88
28-1,00:0C:42:67:89:CC,11,2.462,26,-84
19-1,00:0C:42:6C:39:42,11,2.462,31,-79
2-1,00:0C:42:67:89:99,11,2.462,20,-90
10-1,00:0C:42:67:89:9C,11,2.462,19,-91
252-1,00:0C:42:65:C6:73,11,2.462,22,-88
qurinet,22:22:22:22:22:22,1,2.412,36,-74
30-0,00:0C:42:6C:3D:25,1,2.412,36,-74
6-1,00:0C:42:6C:3D:3E,11,2.462,21,-89
1m8-wifi.pnc.net,00:02:6F:56:3E:53,11,2.462,21,-89
21-0,00:0C:42:6C:40:77,1,2.412,29,-81
berryessa19.valleyinternet.com,00:27:22:4E:4F:42,7,2.442,30,-80
17-0,00:0C:42:6C:3D:2F,1,2.412,35,-75
28-0,00:0C:42:6C:3D:49,1,2.412,35,-75
hoover6,00:15:6D:63:29:BB,3,2.422,24,-86
